Filename: 119_09.fcs
Event #	FSC-A	SSC-A	FITC-A
1	56530.34765625	105612.5234375	-3.903119371268029
2	56033.8671875	174051.15625	-10.565441643164634
3	103912.1015625	80645.953125	-15.564529404957941
4	99087.546875	105663.9375	6.790153541118034
5	58128.77734375	73772.6015625	35.94882797607137
6	59656.5703125	120778.3203125	-13.620257301540427
7	70549.9140625	118960.5625	9.70111564602871
8	51749.18359375	135178.796875	3.8673229622332124
9	97594.0625	159287.90625	14.552241195957071
10	85609.875	105468.96875	3.8675136151897425
11	77417.9140625	138252.6875	-18.48654166450521
12	72596.390625	128430.5703125	29.14001644511072
13	85629.046875	70056.5703125	37.88131025779715
14	55312.3515625	107936.625	5.812085395232623
15	97535.5390625	78887.359375	15.53892738341611
16	110699.375	131090.28125	-21.393325752148353
17	64507.36328125	116045.7421875	18.454379982929147
18	73088.8359375	113014.5234375	-3.897750765229242
19	83926.6796875	70179.7578125	-14.588522464445877
20	105684.1015625	128948.546875	17.470295416670602
21	98638.4921875	110284.96875	30.104720191344423
22	83341.390625	105958.8125	36.910735709413544
23	59463.83203125	85187.4453125	10.677444277954018
24	112297.8046875	134182.609375	-29.177000258027988
25	67077.5625	144206.5	9.699106530333813
26	56212.4765625	73426.3125	10.684075804669925
27	131018.8203125	117589.9609375	-20.426470022313527
28	83916.5859375	181905.15625	6.769596253182993
29	94194.375	130506.3515625	5.804413568543395
30	63234.875	79068.7421875	3.8738108161247466
31	43184.8671875	129421.90625	-5.848095238777246
32	44288.83203125	87022.6640625	9.67877349640025
33	105301.6484375	87957.734375	10.678933098121647
34	110138.3125	199059.4375	-22.384261996782666
35	66575.03125	108253.8125	-7.787865244195089
36	97186.3828125	150091.421875	0.9094569334335072
37	95555.6640625	139826.015625	-16.536334926802486
38	87188.125	116133.0390625	-9.738515368459254
39	103744.59375	146559.6875	-35.00795881515714
40	86454.5	59569.03515625	-13.619159021255877
41	55889.5625	64960.23828125	-1.951956297741529
42	73407.7109375	68606.4296875	-2.9246816008316636
43	90222.515625	102826.7109375	-6.819543962982469
44	81870.109375	69044.8671875	24.288250806119507
45	58223.6328125	98705.2265625	10.681216086838285
46	62848.38671875	65710.0390625	-4.871362836338133
47	85056.8828125	141343.078125	-15.570171995715858
48	69205.78125	110597.3046875	0.9466851324186758
49	49680.5078125	93250.0	-2.9306677543058663
50	131687.859375	135188.5	14.543383793017464
51	58393.1640625	94142.390625	6.787794677108253
52	85597.765625	101116.625	14.555749895834595
53	71502.515625	84182.53125	26.22865853918134
54	81250.515625	178867.15625	-16.55662136094147
55	69691.1640625	66184.3671875	-0.9824832757046309
56	106722.4765625	81172.65625	-6.819125921031599
57	99303.5	130598.5	18.35662079510794
58	89402.109375	117187.421875	-17.51264791830117
59	98259.0703125	119729.765625	0.940782398201968
60	87642.21875	121035.3671875	-26.259645626384817
61	50267.80859375	125629.2421875	-10.70987812954933
62	75493.546875	148080.640625	-30.15170737380635
63	91233.640625	94661.3359375	37.88359815298294
64	89022.6796875	128722.5390625	2.892427786662453
65	79476.5	153139.125	-18.496812179130156
66	86527.15625	103537.71875	4.841512611660228
67	69910.140625	122694.0546875	14.559820134801697
68	63374.1328125	106606.765625	11.6485323188618
69	109004.0703125	91100.5	-49.58328037538282
70	67467.0859375	131365.765625	-30.145808378212013
71	74461.2265625	66955.5078125	12.623077458610528
72	86129.5625	92706.8046875	-2.9292605512328476
73	72437.9609375	109728.1953125	5.823459018441435
74	60897.77734375	153699.78125	12.59122237616437
75	50162.86328125	72852.078125	22.349967423796837
76	71247.2109375	93579.796875	0.9616859059945597
77	87287.015625	73858.9296875	2.904463074402364
78	36782.0625	121937.4609375	5.81737071650137
79	81305.0078125	105232.2890625	-8.766166703300199
80	104137.1328125	136181.765625	12.614726866480906
81	70455.0546875	65582.0	3.87781964474404
82	101334.8359375	124194.625	-17.507042258748406
83	105195.6875	137656.15625	1.9287242198913506
84	90551.484375	122607.7265625	-16.54580281465137
85	62482.078125	124756.25	2.890087338585221
86	69476.21875	127273.375	8.730506824392563
87	85046.7890625	77577.8671875	-10.705408111347799
88	92756.390625	74222.671875	25.250358548180348
89	88659.40625	126867.921875	-17.51667037653053
90	73705.3984375	119678.3515625	-14.593254810367931
91	78885.1640625	100894.4921875	-11.681760968403962
92	84809.6484375	103082.7890625	-25.288181426433084
93	79862.9921875	192440.21875	-1.0280623240888982
94	83300.0234375	65655.71875	-13.623720983144183
95	97516.359375	132510.359375	11.644646316302738
96	96067.28125	180458.90625	-25.29520911040507
97	67899.9921875	86206.90625	11.644143669751243
98	63357.984375	119697.75	7.760675525740583
99	77150.5	83013.6953125	-4.925223212652552
100	99451.8359375	122546.6171875	-0.9905543955800181
101	62202.5546875	127168.6171875	-10.708249418029059
102	66761.7109375	96805.984375	14.569360522144157
103	76811.4453125	67789.703125	-19.44783803793312
104	71540.859375	133453.1875	-4.8773976998285775
105	79180.8359375	91170.34375	8.735225390384173
106	68819.2890625	115560.7421875	-29.17310906117852
107	81610.7734375	76695.1796875	15.530073302779277
108	73127.1796875	139620.375	-7.792514557914351
109	82453.375	101180.640625	38.86087037246029
110	71015.1171875	83811.03125	31.086868803329246
111	55143.83203125	119024.578125	-7.7900137253789365
112	72537.859375	119220.515625	11.639417762749412
113	86663.3828125	92125.78125	34.96892529019938
114	65770.765625	130738.1796875	2.898788737285185
115	78623.8046875	94216.109375	-1.9587354304692202
116	71786.0703125	166406.65625	4.824735494204662
117	98218.703125	149750.953125	-2.952353409742952
118	88660.4140625	67530.7109375	4.8484959943095
119	73402.671875	136519.328125	7.755744970291164
120	89124.6015625	78418.8515625	4.8463267061959305
121	53567.6015625	101911.046875	15.542196635257355
122	78089.984375	164143.671875	-4.888852153577789
123	68254.1875	147164.0	-21.400360496411526
124	61981.55859375	109579.7890625	-15.570947745296722
125	71655.8984375	92819.328125	5.818576595734306
126	55231.62109375	165595.75	-15.580273637088842
127	46088.078125	152381.5625	8.731519495881374
128	58051.078125	104960.6953125	31.086162450915804
129	83958.96875	200262.21875	39.631986910381826
130	63796.94921875	155301.234375	14.524210181795711
